Food,Allergy,Summary,url
flavouring,soy,"Flavor (American English) or flavour (British English; see spelling differences) is the sensory impression of food or other substances, and is determined primarily by the chemical senses of taste and smell. The ""trigeminal senses"", which detect chemical irritants in the mouth and throat, as well as temperature and texture, are also important to the overall gestalt of flavor perception. The flavor of the food, as such, can be altered with natural or artificial flavorants which affect these senses.
A ""flavorant"" is defined as a substance that gives another substance flavor, altering the characteristics of the solute, causing it to become sweet, sour, tangy, etc.  A flavor is a quality of something that affects the sense of taste.Of the three chemical senses, smell is the main determinant of a food item's flavor. Five basic tastes – sweet, sour, bitter, salty and umami (savory) are universally recognized, although some cultures also include pungency and oleogustus (""fattiness""). The number of food smells is unbounded; a food's flavor, therefore, can be easily altered by changing its smell while keeping its taste similar. This is exemplified in artificially flavored jellies, soft drinks and candies, which, while made of bases with a similar taste, have dramatically different flavors due to the use of different scents or fragrances. The flavorings of commercially produced food products are typically created by flavorists.
Although the terms flavoring and flavorant in common language denote the combined chemical sensations of taste and smell, the same terms are used in the fragrance and flavors industry to refer to edible chemicals and extracts that alter the flavor of food and food products through the sense of smell. Due to the high cost or unavailability of natural flavor extracts, most commercial flavorants are ""nature-identical"", which means that they are the chemical equivalent of natural flavors, but chemically synthesized rather than being extracted from source materials. Identification of components of natural foods, for example a raspberry, may be done using technology such as headspace techniques, so the flavorist can imitate the flavor by using a few of the same chemicals present.",https://en.wikipedia.org/wiki/Flavor
hoi sin sauce,soy,"Hoisin sauce is a thick, fragrant sauce commonly used in Chinese cuisine as a glaze for meat, an addition to stir fries, or as dipping sauce. It is darkly-colored in appearance and sweet and salty in taste. Although regional variants exist, hoisin sauce usually includes soybeans, fennel, red chili peppers, and garlic. Vinegar, five-spice powder and sugar are also commonly added.",https://en.wikipedia.org/wiki/Hoisin_sauce
margarine,soy,"Margarine (, also UK: , US:  (listen)) is a spread used for flavoring, baking, and cooking that was first made in France in 1869. It was created by Hippolyte Mège-Mouriès in response to a challenge by Emperor Napoleon III to create a butter substitute from beef tallow for the armed forces and lower classes. It was named oleomargarine from Latin for oleum (olive oil) and Greek margarite (pearl indicating luster) but was later named margarine.Butter is made from the butterfat of milk, whereas modern margarine is made mainly of refined vegetable oil and water. In some places in the United States, it is colloquially referred to as oleo, short for oleomargarine. In Britain and Australia, it can be referred to colloquially as marge. Margarine consists of a water-in-fat emulsion, with tiny droplets of water dispersed uniformly throughout a fat phase in a stable crystalline form. In some jurisdictions, margarine must have a minimum fat content of 80-percent to be labelled as such, the same as butter. Colloquially in the United States, the term margarine is used to describe ""non-dairy spreads"" with varying fat contents.Due to its versatility, margarine can be used as an ingredient in other food products, such as pastries, doughnuts, cakes and cookies.",https://en.wikipedia.org/wiki/Margarine
mayonnaise type dressings,soy,,
meat substitutes,soy,"This is a list of meat substitutes. A meat substitute, also called a meat analogue, approximates certain aesthetic qualities (primarily texture, flavor and appearance) or chemical characteristics of a specific meat. Substitutes are often based on soybeans (such as tofu and tempeh), gluten, or peas. Whole legumes are often used as a protein source in vegetarian dishes, but are not listed here.",https://en.wikipedia.org/wiki/List_of_meat_substitutes
mock cream,soy,"Buttercream is a type of icing or filling used either inside cakes, as a coating, or as decoration.",https://en.wikipedia.org/wiki/Buttercream
soup mixes,soy,"Soup is a primarily liquid food, generally served warm or hot (but may be cool or cold), that is made by combining ingredients of meat or vegetables with stock, or water. Hot soups are additionally characterized by boiling solid ingredients in liquids in a pot until the flavors are extracted, forming a broth. Soups are similar to stews, and in some cases there may not be a clear distinction between the two; however, soups generally have more liquid (broth) than stews.In traditional French cuisine, soups are classified into two main groups: clear soups and thick soups. The established French classifications of clear soups are bouillon and consommé. Thick soups are classified depending upon the type of thickening agent used: purées are vegetable soups thickened with starch; bisques are made from puréed shellfish or vegetables thickened with cream; cream soups may be thickened with béchamel sauce; and veloutés are thickened with eggs, butter, and cream. Other ingredients commonly used to thicken soups and broths include egg, rice, lentils, flour, and grains; many popular soups also include pumpkin, carrots, potatoes, pig's trotters and bird's nests.
Other types of soup include fruit soups, dessert soups, pulse soups like split pea, cold soups and other styles.",https://en.wikipedia.org/wiki/Soup
stock cubes,soy,"A bouillon cube  (Canada and US) or stock cube (Australia, Ireland, New Zealand, South Africa and UK) or broth cube (Philippines) is dehydrated bouillon (French for broth) or stock formed into a small cube about 13 mm (1⁄2 in) wide. It is typically made from dehydrated vegetables, meat stock, a small portion of fat, MSG, salt, and seasonings, shaped into a small cube. Vegetarian and vegan types are also made. Bouillon is also available in granular, powdered, or liquid form.",https://en.wikipedia.org/wiki/Bouillon_cube
taco shells,soy,"A taco (, UK also , Spanish: [ˈtako]) is a traditional Mexican dish consisting of a corn or wheat tortilla folded or rolled around a filling. A taco can be made with a variety of fillings, including beef, pork, chicken, seafood, vegetables, and cheese, allowing great versatility and variety. Tacos are generally eaten without utensils, often garnished with salsa, chili pepper, avocado, guacamole, cilantro (coriander), tomatoes, onions, and lettuce.",https://en.wikipedia.org/wiki/Taco
vegetable stock,soy,"Broth is a savory liquid made of water in which bones, meat, or vegetables have been simmered. It can be eaten alone, but it is most commonly used to prepare other dishes, such as soups, gravies, and sauces.
Commercially prepared liquid broths are available, typically for chicken broth, beef broth, fish broth, and vegetable broth. In North America, dehydrated meat stock in the form of tablets is called a bouillon cube. Industrially produced bouillon cubes were commercialized under the brand name Maggi in 1908, and by Oxo in 1910. Using commercially prepared broths saves home and professional cooks time in the kitchen.
By 2013, broth labeled as ""bone broth"" became popularized as a health food trend or fad in certain parts of the United States.",https://en.wikipedia.org/wiki/Broth
vegetable extract,soy,"Vegetable oils, or vegetable fats, are oils extracted from seeds, or less often, from other parts of fruits. Like animal fats, vegetable fats are mixtures of triglycerides. Soybean oil, rapeseed oil, and cocoa butter are examples of fats from seeds. Olive oil, palm oil, and rice bran oil are examples of fats from other parts of fruits. In common usage, vegetable oil may refer exclusively to vegetable fats which are liquid at room temperature. Vegetable oils are usually edible; non-edible oils derived mainly from petroleum are termed mineral oils.",https://en.wikipedia.org/wiki/Vegetable_oil
